"","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","ResidntCntry","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean"
"1192",55,"Male","No Kids","deg","full-time",250000,"Executive",14,0,"Large-City","United States","Single","0",0,5,5,3,3,3,2,2,2,4,3,2,5,5,3,3,5,3,5,5,4,5,4,3,5,2,3,5,3,5,5,4,5,3,5,5,5,4,5,5,5,2,3,3,3,1,"yes","yes",3.8,3.53333333333333,4.3,2.4
"1193",45,"Male","Yes Kids","deg","full-time",150000,"Marketing",1,10,"Medium-Sized","United States","Married","0",0,4,4,1,1,1,4,2,2,2,2,1,4,3,2,3,4,4,4,3,3,4,2,3,3,4,3,4,1,4,4,3,4,4,4,3,4,4,4,5,4,3,3,3,3,3,"yes","no",2.2,2.86666666666667,3.55,3
"1194",28,"Female","No Kids","ma","full-time",45000,"IT Consultant",3,9,"Small City","United States","Single","0",0,4,4,3,1,1,1,1,1,1,1,4,3,3,1,4,2,1,3,1,3,3,1,2,1,1,2,4,3,5,1,1,4,1,4,3,5,4,3,3,3,5,5,4,5,5,"yes","no",2.6,2,2.7,4.8
"1196",23,"Female","No Kids","deg","full-time",35000,"Lab Services Assistant",0,7,"Large-City","United States","Single","0",0,3,4,1,1,1,1,1,1,3,2,1,3,5,5,5,2,3,1,3,3,5,1,1,2,2,3,2,2,4,4,4,3,1,1,3,4,2,3,4,5,4,4,5,5,2,"yes","no",2,2.6,2.8,4
"1198",37.5,"Female","No Kids","phd","full-time",67500,"Professor",10,0,"Large-City","United States","Single","0",0,4,4,3,4,4,3,3,4,3,4,3,4,4,5,4,4,3,4,2,3,4,2,3,3,3,3,4,4,4,2,4,4,3,4,4,4,3,4,4,4,3,3,3,3,3,"yes","yes",3.8,3.53333333333333,3.5,3
"1200",37.5,"Female","No Kids","deg","full-time",NA,"ceo",0,0,"Large-City","United States","Married","0",0,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,2,4,3,4,4,4,4,4,5,4,4,5,2,4,4,4,5,4,5,5,5,5,5,1,5,2,4,3,4,2,"yes","yes",3.6,4.4,4.2,3
"1202",24,"Male","No Kids","ltuni","unemployed",45000,"Film Industry/Miscelanious",6,0,"Large-City","United States","Single","0",0,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,2,5,1,5,5,5,2,5,5,3,5,3,5,3,3,5,5,1,4,4,4,5,5,5,4,4,1,2,3,"","",5,4.13333333333333,4.1,2.8
"1205",45,"Female","Yes Kids","ma","full-time",25000," acupuncturist",5,8,"Small City","United States","Married","1",0,3,3,4,3,3,3,2,5,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,3,5,4,3,4,4,4,4,4,3,4,5,4,3,4,4,4,2,3,3,2,1,"yes","yes",3.2,3.66666666666667,3.85,2.2
"1206",32.5,"Female","No Kids","ma","full-time",45000,"Teacher",5,0,"Large-City","United States","Single","0",0,3,2,4,3,3,2,2,4,3,2,1,3,4,2,4,5,2,5,1,3,4,3,3,4,3,3,3,3,4,4,3,4,3,3,4,4,4,4,3,4,3,2,3,2,3,"yes","no",3,2.86666666666667,3.5,2.6
"1207",28,"Female","No Kids","ma","full-time",45000,"Software Engineer",1,4,"Large-City","United States","Single","0",0,2,2,2,2,2,1,3,4,5,2,1,3,3,2,3,4,4,4,5,3,3,3,3,5,2,5,3,3,3,4,2,3,1,3,3,4,4,2,2,2,4,4,4,4,4,"no","no",2,3.13333333333333,3,4
"1208",37.5,"Female","No Kids","ma","full-time",45000,"Professor",1,0,"Small City","United States","Single","0",0,3,2,3,3,3,2,3,3,3,3,4,1,3,2,3,3,4,3,2,3,4,3,3,3,3,3,3,3,4,2,3,4,3,2,4,3,3,3,4,3,2,3,2,2,2,"yes","yes",2.8,2.8,3.15,2.2
"1209",45,"Female","Yes Kids","deg","unemployed",NA,"home maker",17,0,"Large Town","United States","Married","1",2,3,2,3,3,3,3,3,3,2,3,3,3,4,2,3,3,3,4,2,2,2,3,3,3,2,3,3,4,3,2,4,3,3,3,3,3,2,4,3,4,3,4,5,3,2,"","",2.8,2.86666666666667,3,3.4
"1210",45,"Male","Yes Kids","phd","full-time",67500,"Professor",4,5,"Small Town","United States","Married","1",1,3,4,3,4,4,3,4,5,5,4,5,4,5,4,4,5,5,2,4,4,5,3,4,3,4,3,4,5,5,4,4,5,4,4,5,5,4,4,3,5,1,2,2,2,2,"","",3.6,4.2,4.15,1.8
"1211",28,"Female","No Kids","phd","full-time",150000,"Attorney",0,5,"Large-City","United States","Single","0",0,4,4,4,3,3,2,4,5,5,4,4,4,4,3,4,4,5,5,4,5,5,3,4,5,5,3,4,4,5,5,4,4,4,4,4,4,3,4,3,3,3,2,2,3,2,"yes","yes",3.6,4.13333333333333,4,2.4
"1212",45,"Male","No Kids","ma","unemployed",15000,"Freelance",0,0,"Medium-Sized","United States","Single","0",0,4,1,1,1,1,2,2,2,2,1,5,1,2,1,2,5,4,4,1,3,1,2,1,5,1,2,2,1,2,2,4,4,5,3,3,5,5,2,1,4,3,3,4,4,4,"no","no",1.6,2.46666666666667,2.75,3.6
"1214",67.5,"Male","Yes Kids","phd","retired",67500,"retired",8,0,"Small City","United States","Widowed","0",1,3,3,3,2,2,1,1,3,4,4,2,3,3,1,2,3,2,2,2,3,3,2,2,2,2,5,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,"yes","no",2.6,2.4,2.75,2.6
"1215",32.5,"Male","Yes Kids","phd","full-time",67500,"Teacher",4,5,"Small City","United States","Married","0",1,4,3,4,3,3,1,1,3,2,2,2,2,3,2,4,3,2,2,2,2,3,3,3,2,3,3,3,3,3,2,4,3,3,4,3,4,2,3,3,4,3,3,3,2,2,"yes","yes",3.4,2.2,3.05,2.6
"1216",55,"Male","No Kids","ltuni","part-time",25000,"Insurance Agent",12,0,"Medium-Sized","United States","Widowed","0",0,3,3,2,2,2,1,1,5,2,3,3,2,3,3,2,3,1,2,1,3,4,2,2,2,2,2,3,3,4,2,1,3,3,4,4,3,2,4,4,2,3,3,2,3,2,"yes","yes",2.4,2.33333333333333,2.8,2.6
"1217",55,"Male","No Kids","deg","full-time",35000,"Designer",12,0,"Large-City","United States","Single","0",0,3,4,4,2,2,1,1,3,3,4,3,3,4,3,3,2,2,2,2,4,3,2,2,2,2,2,3,2,4,2,2,4,2,2,4,4,3,3,3,4,2,2,2,2,1,"yes","no",3,2.66666666666667,2.75,1.8
"1219",25,"Female","No Kids","deg","part-time",25000,"Musician",2,7,"Medium-Sized","United States","Single","0",0,5,5,4,4,4,1,3,4,4,5,1,5,5,5,5,4,5,2,2,3,5,3,3,3,3,3,5,4,5,4,4,5,1,3,4,5,5,5,4,4,4,3,3,4,3,"yes","yes",4.4,3.6,3.9,3.4
"1220",45,"Male","No Kids","ltuni","full-time",55000,"real estate",4,0,"Large-City","United States","Married","0",0,3,4,5,5,5,4,4,5,1,1,3,1,4,2,1,5,4,2,4,5,5,5,1,5,2,5,5,1,5,1,5,3,5,4,5,5,5,4,1,4,3,5,4,4,4,"yes","yes",4.4,3.06666666666667,3.8,4
"1221",45,"Female","Yes Kids","deg","part-time",15000,"RN",23,0,"Small Town","United States","Married","0",1,2,3,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,2,1,5,3,1,4,1,1,1,1,3,3,3,3,3,2,1,2,2,1,4,5,5,5,4,"no","no",1.8,1.33333333333333,2.15,4.6
"1222",55,"Male","Yes Kids","deg","retired",87500,"retired",3,0,"Small Town","United States","Married","0",3,4,4,3,3,3,2,2,3,2,3,3,2,3,3,2,2,2,2,2,4,4,3,2,1,2,2,2,3,4,2,4,3,3,2,3,3,2,4,4,3,3,3,3,3,1,"yes","no",3.4,2.46666666666667,2.8,2.6
"1224",28,"Male","No Kids","deg","full-time",55000,"project manager",1,6,"Medium-Sized","United States","Single","0",0,2,3,4,3,3,2,1,4,2,2,2,2,4,2,1,3,2,4,1,3,3,3,2,2,4,3,3,4,1,3,4,2,4,4,2,4,3,3,3,3,3,4,4,2,1,"yes","no",3,2.33333333333333,3,2.8
"1225",67.5,"Male","Yes Kids","ma","retired",250000,"retired",7,0,"Rural/Country","United States","Married","0",0,1,1,1,1,1,1,1,5,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,5,5,5,3,"no","no",1,1.46666666666667,1.1,4.4
"1226",37.5,"Female","No Kids","ma","full-time",45000,"Teacher",6,0,"Large-City","United States","Divorced","0",0,3,3,2,3,3,1,1,5,3,3,3,2,3,2,4,1,2,1,2,3,2,1,5,3,3,1,3,3,4,1,4,3,1,1,4,1,1,3,1,2,3,3,3,4,2,"yes","no",2.8,2.4,2.35,3
"1227",45,"Male","Yes Kids","phd","full-time",87500,"Scientist",8,0,"Large-City","United States","Married","1",0,4,3,3,3,4,2,2,4,4,5,3,4,4,4,4,2,3,3,2,4,4,5,4,3,2,2,4,4,4,4,4,4,4,3,3,4,3,5,5,4,3,4,3,2,2,"yes","yes",3.4,3.33333333333333,3.75,2.8
"1228",37.5,"Male","No Kids","phd","full-time",250000,"associate",0,3,"Large-City","United States","Single","0",0,4,3,3,3,3,2,1,4,1,3,3,1,3,4,3,3,1,2,1,3,3,1,1,2,3,2,3,4,4,1,1,4,2,3,3,5,3,4,3,3,3,3,3,3,3,"yes","no",3.2,2.33333333333333,2.75,3
"1229",55,"Male","Yes Kids","ma","full-time",150000,"director",1,0,"Small Town","United States","Married","0",0,3,1,2,2,2,1,1,3,3,2,1,3,3,2,3,3,2,3,2,3,3,1,2,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2,3,3,4,4,3,4,3,"yes","yes",2,2.33333333333333,2.4,3.6
"1230",28,"Female","No Kids","deg","full-time",45000,"Restaurant operations manager",3,6,"Medium-Sized","United States","Single","0",0,5,3,4,5,5,2,3,5,4,4,4,4,4,4,4,3,4,2,4,4,4,3,3,2,4,2,4,4,4,4,4,4,3,3,4,3,3,4,2,3,2,2,3,2,2,"yes","yes",4.4,3.66666666666667,3.35,2.2
"1231",37.5,"Female","Yes Kids","ma","full-time",87500,"Research Scientist",0,1,"Small City","United States","Divorced","0",1,2,2,2,2,2,4,2,5,4,4,3,4,4,2,4,4,2,2,2,4,4,3,2,5,5,4,2,1,2,5,2,2,4,4,2,4,4,2,4,2,4,4,4,4,4,"yes","no",2,3.33333333333333,3.15,4
"1233",55,"Male","Yes Kids","ma","full-time",67500,"Labor Relations Specialist",3,0,"Small City","United States","Married","1",0,4,2,4,3,3,2,1,5,5,3,3,3,4,3,4,2,2,2,1,4,4,2,3,3,2,3,4,4,5,2,2,4,4,3,4,4,3,4,4,3,2,3,2,3,2,"yes","yes",3.2,2.93333333333333,3.35,2.4
"1235",55,"Female","Yes Kids","deg","full-time",87500,"Financial Consultant",1,6,"Large Town","United States","Married","0",3,3,4,3,3,3,2,1,1,3,3,2,2,3,3,3,2,3,4,2,3,3,2,3,2,4,3,4,3,4,2,2,3,2,3,3,4,4,3,3,4,2,2,2,2,2,"yes","yes",3.2,2.46666666666667,3.05,2
"1236",55,"Female","Yes Kids","phd","full-time",150000,"Attorney",14,0,"Medium-Sized","United States","Divorced","0",1,3,4,3,3,2,3,3,1,5,4,5,4,4,5,5,3,3,4,5,5,5,3,2,2,4,3,5,3,5,4,3,4,1,2,3,2,2,4,5,3,2,2,3,3,2,"yes","yes",3,3.93333333333333,3.25,2.4
"1237",45,"Female","Yes Kids","phd","full-time",25000,"Teacher",30,0,"Small City","United States","Married","0",0,2,3,3,3,2,1,1,3,2,1,1,2,2,1,1,1,1,3,2,2,2,2,2,2,2,1,2,3,2,2,4,2,1,2,2,3,2,3,3,2,4,4,4,4,4,"no","no",2.6,1.6,2.2,4
"1240",37.5,"Female","No Kids","ma","full-time",55000,"TV News Executive Producer",1,11,"Small City","United States","Married","0",0,2,2,2,3,3,1,5,5,5,3,4,4,3,3,3,4,5,4,4,3,3,1,2,5,4,3,4,3,4,2,4,3,2,4,4,4,3,3,4,5,3,2,3,3,2,"yes","yes",2.4,3.73333333333333,3.35,2.6
"1241",28,"Male","No Kids","deg","full-time",35000,"Teacher",4,0,"Medium-Sized","United States","Married","0",0,3,3,4,3,3,1,2,5,4,3,4,3,3,2,3,2,3,1,3,4,3,3,3,3,3,3,3,3,4,1,2,4,1,2,3,4,4,3,4,3,3,4,3,3,3,"yes","yes",3.2,2.86666666666667,2.95,3.2
"1242",55,"Female","No Kids","ma","full-time",87500,"Librarian",0,8,"Large-City","United States","Married","0",0,3,4,4,4,4,4,2,2,4,4,4,4,4,3,4,5,3,4,2,4,4,4,3,4,3,4,3,4,4,2,2,4,5,5,4,4,3,4,4,4,3,3,3,4,1,"yes","yes",3.8,3.53333333333333,3.7,2.8
"1245",45,"Male","Yes Kids","phd","full-time",150000,"First VP & Associate General Counsel",1,7,"Small Town","United States","Divorced","1",1,3,3,4,3,3,1,5,5,5,4,1,5,5,5,5,5,3,4,5,4,4,3,3,3,3,4,4,4,4,2,4,5,2,4,5,5,3,5,5,5,2,3,2,5,2,"yes","yes",3.2,4.13333333333333,3.85,2.8
"1246",32.5,"Female","No Kids","ma","full-time",45000,"Coordinator of International Programs",0,1,"Large-City","United States","Separated","0",0,3,3,3,2,2,2,2,3,3,3,1,1,3,3,3,2,3,2,3,1,3,2,2,4,2,4,2,3,2,3,3,3,3,2,3,4,4,3,4,3,1,1,1,1,5,"yes","no",2.6,2.33333333333333,2.95,1.8
"1247",32.5,"Female","No Kids","ma","full-time",150000,"Chief of Staff",2,0,"Medium-Sized","United States","Single","0",0,2,2,2,2,2,1,1,3,3,2,1,3,2,1,2,3,2,1,2,1,2,1,2,2,3,1,1,2,2,2,3,2,2,2,2,5,5,2,2,2,4,4,4,4,2,"no","no",2,1.86666666666667,2.25,3.6
"1248",45,"Female","No Kids","deg","part-time",10000,"yoga teacher",5,0,"Medium-Sized","United States","Married","0",0,4,3,3,2,2,2,1,2,2,3,2,2,3,2,3,2,2,1,1,2,3,2,3,3,3,3,3,3,3,2,2,3,2,2,3,4,3,3,3,3,4,4,4,4,3,"yes","yes",2.8,2,2.8,3.8
"1249",55,"Female","Yes Kids","phd","full-time",67500,"Teacher",17,0,"Medium-Sized","United States","Married","1",1,4,4,4,4,4,1,1,2,3,5,3,2,4,5,4,3,3,3,2,4,5,2,3,1,5,4,5,3,5,3,2,5,1,1,4,5,5,3,5,5,5,5,5,5,5,"yes","no",4,3,3.6,5
"1252",28,"Female","No Kids","ma","full-time",55000,"Volunteer Director",1,3,"Large-City","United States","Single","0",0,3,3,3,2,2,2,1,3,2,2,2,2,3,1,2,1,1,3,2,3,3,2,1,4,5,2,3,3,4,1,2,3,2,2,3,5,5,2,3,3,4,3,5,5,4,"yes","no",2.6,2,2.9,4.2
"1254",55,"Female","Yes Kids","ma","part-time",250000,"Business",1,8,"Large-City","United States","Divorced","1",0,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,4,1,2,1,2,2,1,2,2,1,4,2,3,2,2,2,2,2,1,2,5,5,5,5,5,"no","no",1.2,1.4,2,5
"1255",22,"Female","No Kids","ltuni","part-time",10000,"manager",2,11,"Small City","United States","Single","0",0,2,2,3,2,2,2,1,4,1,1,2,2,3,2,2,4,2,2,1,3,4,3,4,4,3,3,2,4,4,1,3,4,1,4,5,2,3,4,4,5,2,3,2,2,2,"yes","no",2.2,2.13333333333333,3.35,2.2
"1257",55,"Male","Yes Kids","ma","full-time",45000,"Pastor ; Life coach  clergy",7,0,"Small City","United States","Married","1",0,3,3,2,2,2,2,1,4,2,3,4,4,2,2,3,2,2,4,2,2,4,2,3,4,2,3,3,3,4,2,2,4,2,4,4,4,4,4,4,2,2,2,2,2,2,"yes","yes",2.4,2.6,3.2,2
"1258",45,"Female","Yes Kids","deg","part-time",25000,"Teacher",5,0,"Medium-Sized","United States","Divorced","1",1,4,4,4,3,3,2,3,5,4,4,1,5,4,4,4,3,4,3,4,4,4,2,4,3,2,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,"yes","yes",3.6,3.6,3.6,3
"1259",37.5,"Male","No Kids","ma","full-time",67500,"Research Analyst",12,0,"Large-City","United States","Single","0",0,4,3,4,3,3,5,4,3,4,4,4,4,4,3,4,4,4,5,3,5,4,3,4,4,4,3,3,4,5,3,4,4,4,4,3,5,4,3,5,4,3,4,3,3,2,"yes","yes",3.4,4,3.85,3
"1262",37.5,"Female","No Kids","ltuni","part-time",25000,"electronic technician",17,0,"Small City","United States","Single","0",0,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,2,1,1,1,"yes","yes",4.8,4.8,4.8,1.2
"1263",28,"Female","No Kids","deg","full-time",67500,"IT Consultant",9,0,"Large-City","United States","Single","0",0,3,2,1,1,1,2,1,3,3,2,4,4,4,3,3,2,3,1,2,2,3,1,1,5,2,2,3,3,3,4,2,3,3,2,4,3,2,2,3,3,4,4,4,4,4,"yes","yes",1.6,2.6,2.7,4
"1264",45,"Female","Yes Kids","ma","full-time",87500,"Attorney",23,0,"Small City","United States","Married","0",1,5,5,4,3,3,2,3,5,5,3,3,4,5,4,5,5,5,4,5,5,5,3,2,5,5,3,5,2,5,5,5,4,5,3,4,5,4,5,1,1,3,3,4,4,4,"yes","yes",4,4.2,3.85,3.6
"1265",28,"Female","No Kids","ma","full-time",35000,"Associate Producer",2,0,"Large-City","United States","Single","0",0,3,3,3,2,2,1,1,1,1,2,1,2,2,2,2,2,2,3,1,2,3,3,2,3,3,3,2,3,3,1,2,3,1,2,3,1,2,3,3,2,3,3,3,2,2,"yes","yes",2.6,1.66666666666667,2.4,2.6
"1267",37.5,"Female","Yes Kids","phd","part-time",67500,"VMD",13,0,"Small City","United States","Married","1",1,5,4,4,4,4,2,2,5,4,4,1,4,4,4,4,3,3,4,3,3,4,3,3,2,3,3,4,3,4,4,4,4,2,3,4,5,4,5,4,5,3,3,3,4,3,"yes","yes",4.2,3.33333333333333,3.65,3.2
"1268",37.5,"Male","Yes Kids","deg","full-time",150000,"engineer",5,0,"Medium-Sized","United States","Married","0",0,4,5,5,5,5,4,2,5,2,4,5,5,5,3,5,5,3,4,2,4,5,3,5,2,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,3,4,4,3,"yes","yes",4.8,3.86666666666667,4.55,3.4
"1269",55,"Female","Yes Kids","deg","full-time",45000,"Administrator",1,6,"Small City","United States","Married","0",2,2,2,2,1,1,2,1,5,1,1,3,1,1,1,2,2,3,2,1,4,2,1,1,3,1,5,1,3,3,2,4,2,3,2,2,3,3,3,1,3,3,3,3,3,3,"no","no",1.6,2,2.4,3
"1270",24,"Female","No Kids","ma","full-time",45000,"abc",0,6,"Medium-Sized","United States","Single","0",0,2,2,2,1,1,1,4,5,5,1,1,3,4,1,2,3,5,2,5,2,3,1,2,5,2,5,2,2,2,2,5,3,4,4,4,5,4,2,2,2,5,5,5,5,5,"no","no",1.6,2.93333333333333,3.05,5
"1271",55,"Male","Yes Kids","ma","full-time",87500,"IT Consultant",9,0,"Large-City","United States","Married","0",0,3,4,4,3,3,1,3,5,3,3,2,4,3,2,3,3,3,2,2,2,3,2,4,4,2,3,3,4,4,2,2,3,3,3,3,4,2,4,4,3,2,3,3,3,3,"yes","yes",3.4,2.73333333333333,3.1,2.8
"1272",32.5,"Female","Yes Kids","ma","part-time",35000,"buyer",7,3,"Small City","United States","Married","1",0,5,5,5,4,4,1,2,2,4,3,3,2,3,2,3,3,3,3,2,2,3,3,4,3,3,4,4,4,4,4,4,4,2,3,4,4,4,3,2,4,3,3,3,4,3,"yes","no",4.6,2.53333333333333,3.5,3.2
"1273",55,"Female","No Kids","deg","full-time",87500,"Owner",23,0,"Large-City","United States","","0",0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,5,1,5,1,1,1,1,5,2,1,1,1,3,1,2,1,1,4,4,4,4,4,"no","no",1,1.2,2,4
"1274",45,"Female","Yes Kids","ltuni","full-time",45000,"IT Consultant",13,6,"Large-City","United States","Married","0",1,2,4,3,3,3,3,2,5,4,4,3,2,3,2,4,3,4,3,3,5,5,4,4,4,5,4,5,3,4,4,4,3,4,3,4,5,4,4,5,4,4,3,3,5,4,"yes","yes",3,3.33333333333333,4.1,3.8
"1277",45,"Male","Yes Kids","high","full-time",25000,"landscape designer",10,0,"Village","United States","Married","1",0,3,3,4,2,2,2,1,4,3,2,1,2,3,2,2,2,1,3,2,2,3,2,2,2,1,2,3,3,3,1,3,2,2,2,3,2,2,3,3,3,3,3,3,4,1,"yes","yes",2.8,2.13333333333333,2.35,2.8
"1280",45,"Male","Yes Kids","deg","full-time",55000,"Network Services Engineer",1,1,"Large-City","United States","Married","0",1,3,3,2,3,3,3,1,3,3,4,1,2,3,3,3,3,2,4,1,5,5,2,3,2,5,2,4,3,3,2,2,3,3,3,3,4,3,4,3,4,2,4,3,4,2,"yes","no",2.8,2.73333333333333,3.15,3
"1283",25,"Female","No Kids","ma","full-time",25000,"IT Consultant",1,5,"Small City","United States","Married","0",0,3,2,2,2,2,1,3,4,5,2,1,3,4,3,5,2,3,2,4,3,3,2,3,5,2,2,3,3,4,4,4,4,2,2,3,3,3,4,4,3,3,5,4,4,4,"yes","yes",2.2,3,3.15,4
"1284",28,"Male","No Kids","deg","full-time",45000,"Marketing",1,4,"Large-City","United States","Single","0",0,3,3,3,2,3,1,3,4,5,2,1,3,2,1,2,4,4,4,5,4,4,4,3,5,4,3,3,2,3,2,5,5,1,3,2,3,2,2,3,2,4,4,4,4,3,"yes","no",2.8,3,3.05,3.8
"1285",55,"Female","No Kids","deg","full-time",45000,"free lance bookkeeper",7,11,"Small City","United States","Single","0",0,1,1,5,1,1,1,1,5,1,2,2,1,1,1,2,5,1,5,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,1,2,5,5,3,3,4,3,2,3,4,4,"no","no",1.8,2,2.3,3.2
"1286",37.5,"Female","No Kids","dip","unemployed",35000,"na",0,0,"Large-City","United States","Divorced","0",0,4,4,2,3,2,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,4,1,5,4,4,5,4,4,4,5,5,4,4,4,5,3,3,4,4,4,3,5,4,3,3,"yes","yes",3,4.66666666666667,4,3.6
"1287",37.5,"Male","No Kids","ltuni","full-time",25000,"manager",10,2,"Medium-Sized","United States","Single","0",0,2,2,2,2,2,1,1,2,3,2,4,2,2,1,4,2,1,2,2,2,4,1,2,3,4,1,2,2,3,1,3,4,1,1,2,2,2,2,2,2,4,4,4,3,2,"yes","no",2,2.06666666666667,2.2,3.4
"1288",32.5,"Female","No Kids","ma","full-time",67500,"Urban Planner/Economic Development Plann",3,0,"Large-City","United States","Single","0",0,4,5,4,3,3,1,2,1,4,3,4,4,4,4,3,3,2,2,3,3,4,3,3,5,4,3,5,5,5,3,3,4,3,4,4,5,5,4,4,5,2,3,2,3,1,"yes","yes",3.8,2.86666666666667,4.05,2.2
"1290",45,"Female","No Kids","deg","full-time",150000,"Executive Director",7,11,"Large-City","United States","Married","0",0,5,5,5,4,4,2,3,5,4,5,5,3,5,5,5,4,4,3,3,4,5,2,3,3,4,4,5,4,5,4,4,4,3,4,4,4,3,5,4,4,3,4,3,4,3,"yes","no",4.6,4,3.9,3.4
"1291",28,"Female","No Kids","dip","full-time",67500,"IT Consultant",2,2,"Large-City","United States","Single","0",0,3,2,4,2,2,1,2,3,4,2,2,2,5,1,2,2,3,3,3,3,3,2,2,4,2,3,3,3,2,3,4,3,2,2,2,3,2,3,3,3,4,4,4,4,4,"no","no",2.6,2.53333333333333,2.7,4
"1292",32.5,"Female","No Kids","phd","full-time",55000,"Research Scientist",3,6,"Large-City","United States","Single","0",0,4,4,3,3,3,1,2,3,5,3,1,5,4,3,4,3,4,4,4,4,5,2,2,5,1,1,5,4,4,5,5,4,1,2,5,4,2,5,4,4,4,3,4,4,3,"yes","yes",3.4,3.33333333333333,3.5,3.6
"1295",37.5,"Female","No Kids","phd","full-time",45000,"Professor",3,6,"Medium-Sized","United States","Single","0",0,3,4,4,4,4,1,4,5,5,4,5,3,4,4,4,2,4,4,5,5,5,4,4,2,4,4,5,4,4,5,4,4,2,4,4,5,3,4,5,4,4,5,5,5,4,"yes","yes",3.8,3.93333333333333,4,4.6
"1296",45,"Female","No Kids","phd","unemployed",150000,"home maker",7,0,"Small City","United States","Married","0",0,5,5,5,4,4,1,1,4,2,3,3,2,1,1,1,3,2,3,1,3,4,3,2,5,4,1,4,4,4,2,2,4,3,4,4,1,2,4,4,3,3,4,3,3,2,"yes","no",4.6,2.06666666666667,3.2,3
"1297",37.5,"Male","Yes Kids","ma","full-time",150000,"Economist",8,0,"Rural/Country","United States","Married","1",1,2,4,3,3,3,1,1,5,3,3,2,4,4,4,4,2,3,4,3,3,4,1,4,2,4,3,4,4,4,4,4,5,3,4,4,5,5,4,5,3,4,4,3,4,2,"yes","yes",3,3.06666666666667,3.8,3.4
"1298",32.5,"Male","Yes Kids","ltuni","full-time",45000,"Bank Teller",3,3,"Medium-Sized","United States","Separated","1",1,3,4,4,2,2,2,4,2,4,4,2,4,4,4,4,4,4,2,4,4,4,3,2,5,4,3,4,4,4,2,4,4,4,4,4,3,2,4,5,4,1,1,3,3,1,"yes","yes",3,3.46666666666667,3.65,1.8
"1299",55,"Male","Yes Kids","deg","full-time",87500,"Marketing",6,0,"Small City","United States","Divorced","0",1,3,3,2,2,3,3,2,4,4,4,3,3,3,3,3,2,4,2,3,3,3,2,2,2,2,2,2,2,3,2,2,4,3,2,4,4,2,3,3,3,3,4,3,4,2,"yes","yes",2.6,3.06666666666667,2.6,3.2
"1300",21,"Female","No Kids","ltuni","student",15000,"Bank Teller",0,3,"Large Town","United States","Single","0",0,3,3,3,1,1,3,4,4,4,3,2,5,4,2,3,3,4,2,5,3,3,2,3,5,4,3,2,4,4,4,4,3,2,3,4,2,3,4,3,3,3,3,3,3,3,"yes","yes",2.2,3.4,3.25,3
"1301",20,"Male","No Kids","ltuni","student",10000,"Studey",14,0,"Small City","United States","Single","0",0,3,4,4,3,3,2,2,2,3,2,3,4,4,2,2,4,3,4,3,2,3,2,4,5,3,2,3,3,4,2,4,3,3,3,4,4,3,3,4,4,3,2,3,3,2,"yes","yes",3.4,2.8,3.3,2.6
"1302",20,"Female","No Kids","ltuni","student",10000," bookseller",1,5,"Small Town","United States","Single","0",0,4,4,5,4,4,3,3,5,5,4,2,4,4,4,4,4,5,3,5,4,5,2,3,5,5,3,4,5,5,5,4,5,3,4,4,4,4,4,5,5,4,3,4,3,4,"yes","yes",4.2,3.93333333333333,4.2,3.6
"1304",19,"Male","No Kids","high","part-time",10000," Assistant",0,6,"Large-City","United States","Single","0",0,4,4,4,3,3,3,4,5,5,4,4,5,4,4,5,3,4,3,4,4,4,4,4,5,4,3,4,3,4,4,2,4,3,3,4,4,4,4,5,5,2,2,2,2,1,"yes","yes",3.6,4.06666666666667,3.85,1.8
